;german;english;studied;
0;die Mutter;mother;No;
1;der Vater;vater;no;
2;die Großmutter;grandmother;no;
3;der Großvater;grandvater;no;
4;die Schwester;sister;no;
5;der Bruder;brother;no;
6;die Tochter;daughter;no;
7;der Sohn;son;no;
8;die Tante;aunt;no;
9;der Onkel;uncle;no;
10;der Cousin;cousin;no;
11;die Nichte;niece;no;
12;der Neffe;nephew;no;
13;die Eltern ;parents ;no;
14;die Großeltern;grandparents;no;
15;die Enkelin;granddaughter;no;
16;der Enkel;grandson;no;
17;die Schwägerin;sister-in-law;no;
18;der Schwager;brother-in-law;no;